#CaseLetter	ALTCode	LetterReplacement
ǳ	ALT 499	dz
Ǵ	ALT 500	G
ǵ	ALT 501	g
Ǹ	ALT 504	N
ǹ	ALT 505	n
Ǻ	ALT 506	A
ǻ	ALT 507	a
Ǽ	ALT 508	AE
ǽ	ALT 509	ae
Ǿ	ALT 510	O
ǿ	ALT 511	o
Ȁ	ALT 512	A
ȁ	ALT 513	a
Ȃ	ALT 514	A
ȃ	ALT 515	a
Ȅ	ALT 516	E
ȅ	ALT 517	e
Ȇ	ALT 518	E
ȇ	ALT 519	e
Ȉ	ALT 520	I
ȉ	ALT 521	i
Ȋ	ALT 522	I
ȋ	ALT 523	i
Ȍ	ALT 524	O
ȍ	ALT 525	o
Ȏ	ALT 526	O
ȏ	ALT 527	o
Ȑ	ALT 528	R
ȑ	ALT 529	r
Ȓ	ALT 530	R
ȓ	ALT 531	r
Ȕ	ALT 532	U
ȕ	ALT 533	u
Ȗ	ALT 534	U
ȗ	ALT 535	u
Ș	ALT 536	S
ș	ALT 537	s
Ț	ALT 538	T
ț	ALT 539	t
Ȟ	ALT 542	H
ȟ	ALT 543	h
Ƞ	ALT 544	N
Ȣ	ALT 546	OU
ȣ	ALT 547	ou
Ȥ	ALT 548	Z
ȥ	ALT 549	z
Ȧ	ALT 550	A
ȧ	ALT 551	a
Ȩ	ALT 552	E
ȩ	ALT 553	e
Ȫ	ALT 554	O
ȫ	ALT 555	o
Ȭ	ALT 556	O
ȭ	ALT 557	o
Ȯ	ALT 558	O
ȯ	ALT 559	o
Ȱ	ALT 560	O
ȱ	ALT 561	o
Ȳ	ALT 562	Y
ȳ	ALT 563	y
Ⱥ	ALT 570	A
Ȼ	ALT 571	C
ȼ	ALT 572	c
Ƚ	ALT 573	L
Ⱦ	ALT 574	T
Ƀ	ALT 579	B
Ʉ	ALT 580	U
Ɇ	ALT 582	E
ɇ	ALT 583	e
Ɉ	ALT 584	J
ɉ	ALT 585	j
Ɋ	ALT 586	Q
ɋ	ALT 587	q
Ɍ	ALT 588	R
ɍ	ALT 589	r
Ɏ	ALT 590	Y
ɏ	ALT 591	y
ʉ	ALT 649	u
Ḁ	ALT 7680	A
ḁ	ALT 7681	a
Ḃ	ALT 7682	B
ḃ	ALT 7683	b
Ḅ	ALT 7684	B
ḅ	ALT 7685	b
Ḇ	ALT 7686	B
ḇ	ALT 7687	b
Ḉ	ALT 7688	C
ḉ	ALT 7689	c
Ḋ	ALT 7690	D
ḋ	ALT 7691	d
Ḍ	ALT 7692	D
ḍ	ALT 7693	d
Ḏ	ALT 7694	D
ḏ	ALT 7695	d
Ḑ	ALT 7696	D
ḑ	ALT 7697	d
Ḓ	ALT 7698	D
ḓ	ALT 7699	d
Ḕ	ALT 7700	E
ḕ	ALT 7701	e
Ḗ	ALT 7702	E
ḗ	ALT 7703	e
Ḙ	ALT 7704	E
ḙ	ALT 7705	e
Ḛ	ALT 7706	E
ḛ	ALT 7707	e
Ḝ	ALT 7708	E
ḝ	ALT 7709	e
Ḟ	ALT 7710	F
ḟ	ALT 7711	f
Ḡ	ALT 7712	G
ḡ	ALT 7713	g
Ḣ	ALT 7714	H
ḣ	ALT 7715	h
Ḥ	ALT 7716	H
ḥ	ALT 7717	h
Ḧ	ALT 7718	H
ḧ	ALT 7719	h
Ḩ	ALT 7720	H
ḩ	ALT 7721	h
Ḫ	ALT 7722	H
ḫ	ALT 7723	h
Ḭ	ALT 7724	I
ḭ	ALT 7725	i
Ḯ	ALT 7726	I
ḯ	ALT 7727	i
Ḱ	ALT 7728	K
ḱ	ALT 7729	k
Ḳ	ALT 7730	K
ḳ	ALT 7731	k
Ḵ	ALT 7732	K
ḵ	ALT 7733	k
Ḷ	ALT 7734	L
ḷ	ALT 7735	l
Ḹ	ALT 7736	L
ḹ	ALT 7737	l
Ḻ	ALT 7738	L
ḻ	ALT 7739	l
Ḽ	ALT 7740	L
ḽ	ALT 7741	l
Ḿ	ALT 7742	M
ḿ	ALT 7743	m
Ṁ	ALT 7744	M
ṁ	ALT 7745	m
Ṃ	ALT 7746	M
ṃ	ALT 7747	m
Ṅ	ALT 7748	N
ṅ	ALT 7749	n
Ṇ	ALT 7750	N
ṇ	ALT 7751	n
Ṉ	ALT 7752	N
ṉ	ALT 7753	n
Ṋ	ALT 7754	N
ṋ	ALT 7755	n
Ṍ	ALT 7756	O
ṍ	ALT 7757	o
Ṏ	ALT 7758	O
ṏ	ALT 7759	o
Ṑ	ALT 7760	O
ṑ	ALT 7761	o
Ṓ	ALT 7762	O
ṓ	ALT 7763	o
Ṕ	ALT 7764	P
ṕ	ALT 7765	p
Ṗ	ALT 7766	P
ṗ	ALT 7767	p
Ṙ	ALT 7768	R
ṙ	ALT 7769	r
Ṛ	ALT 7770	R
ṛ	ALT 7771	r
Ṝ	ALT 7772	R
ṝ	ALT 7773	r
Ṟ	ALT 7774	R
ṟ	ALT 7775	r
Ṡ	ALT 7776	S
ṡ	ALT 7777	s
Ṣ	ALT 7778	S
ṣ	ALT 7779	s
Ṥ	ALT 7780	S
ṥ	ALT 7781	s
Ṧ	ALT 7782	S
ṧ	ALT 7783	s
Ṩ	ALT 7784	S
ṩ	ALT 7785	s
Ṫ	ALT 7786	T
ṫ	ALT 7787	t
Ṭ	ALT 7788	T
ṭ	ALT 7789	t
Ṯ	ALT 7790	T
ṯ	ALT 7791	t
Ṱ	ALT 7792	T
ṱ	ALT 7793	t
Ṳ	ALT 7794	U
ṳ	ALT 7795	u
Ṵ	ALT 7796	U
ṵ	ALT 7797	u
Ṷ	ALT 7798	U
ṷ	ALT 7799	u
Ṹ	ALT 7800	U
ṹ	ALT 7801	u
Ṻ	ALT 7802	U
ṻ	ALT 7803	u
Ṽ	ALT 7804	V
ṽ	ALT 7805	v
Ṿ	ALT 7806	V
ṿ	ALT 7807	v
Ẁ	ALT 7808	W
ẁ	ALT 7809	w
Ẃ	ALT 7810	W
ẃ	ALT 7811	w
Ẅ	ALT 7812	W
ẅ	ALT 7813	w
Ẇ	ALT 7814	W
ẇ	ALT 7815	w
Ẉ	ALT 7816	W
ẉ	ALT 7817	w
Ẋ	ALT 7818	X
ẋ	ALT 7819	x
Ẍ	ALT 7820	X
ẍ	ALT 7821	x
Ẏ	ALT 7822	Y
ẏ	ALT 7823	y
Ẑ	ALT 7824	Z
ẑ	ALT 7825	z
Ẓ	ALT 7826	Z
ẓ	ALT 7827	z
Ẕ	ALT 7828	Z
ẕ	ALT 7829	z
ẞ	ALT 7838	SS
Ỳ	ALT 7922	Y
ỳ	ALT 7923	y
Ỵ	ALT 7924	Y
ỵ	ALT 7925	y
Ỷ	ALT 7926	Y
ỷ	ALT 7927	y
Ỹ	ALT 7928	Y
ỹ	ALT 7929	y
ⱥ	ALT 11365	a
ⱦ	ALT 11366	t
Ⱨ	ALT 11367	H
ⱨ	ALT 11368	h
Ⱪ	ALT 11369	K
ⱪ	ALT 11370	k
Ⱬ	ALT 11371	Z
ⱬ	ALT 11372	z
Ⱳ	ALT 11378	W
ⱳ	ALT 11379	w
